win,kills,deaths,assists,gold_earned,cs,wards_placed,wards_killed,damage_dealt
0,3,17,11,17905,69,18,1,26058
0,12,4,1,12071,293,4,5,39929
0,19,14,2,12967,254,13,7,23635
1,14,16,2,19597,130,15,2,30628
1,7,2,11,13367,231,12,8,36362
0,4,11,14,10285,213,19,8,25953
1,14,1,8,15896,274,3,1,24128
0,3,0,7,9937,178,10,7,17061
0,11,16,10,5369,192,16,9,11041
1,12,15,15,6818,254,6,4,17673
1,1,4,3,7101,66,13,3,26059
0,18,14,0,17977,201,10,9,39328
1,18,2,6,8490,107,8,4,49722
1,3,6,1,6779,121,12,3,22548
0,3,10,4,12674,291,17,7,20078
0,10,9,6,6364,268,10,3,10419
1,4,8,3,12294,158,14,9,40490
0,19,13,4,18720,72,18,5,15550
0,10,12,0,17654,223,0,1,35337
1,9,1,0,16534,121,3,4,6468
0,7,2,14,17931,57,13,5,29309
0,5,6,19,8676,108,13,4,5808
1,5,17,18,7426,267,2,1,29747
1,7,2,9,13264,160,16,6,11719
0,14,9,17,13089,236,2,3,21363
0,13,6,2,7962,62,15,7,33718
1,10,8,10,18559,216,13,6,33801
1,11,16,14,5859,278,19,6,48359
1,12,10,10,17048,290,12,8,42841
1,7,6,16,9138,205,14,0,13012
0,17,13,16,7424,266,13,9,23029
1,0,18,5,14256,238,18,5,46017
1,14,3,4,15409,65,5,5,5767
0,7,5,7,9017,168,9,5,8895
1,10,9,1,15451,51,14,5,47968
0,11,6,15,18804,295,19,9,45097
1,11,12,19,16943,259,5,6,20332
1,3,13,11,15278,194,9,9,19621
1,15,3,5,13560,79,6,5,16334
0,3,7,0,15996,152,16,0,23174
0,4,4,3,13342,62,17,2,38653
1,4,0,16,6134,145,16,1,45502
0,7,3,12,18791,291,8,5,41674
0,9,2,17,18747,270,9,7,42260
0,16,8,4,10166,287,9,2,47498
0,8,7,2,10119,143,6,9,7073
0,18,0,10,10694,131,15,7,11269
0,13,5,12,15976,62,17,7,22194
1,7,8,3,11136,220,5,4,31811
1,8,6,13,10485,262,19,7,11841
0,10,3,10,9164,143,0,5,48723
1,0,12,9,7346,198,0,4,39800
1,13,16,18,10039,161,11,8,14699
1,4,1,17,9897,104,1,6,15762
1,13,4,5,19631,130,3,7,44897
0,3,11,14,15442,217,16,0,46556
1,0,7,9,13252,260,3,1,7147
1,18,5,4,10041,165,10,7,38383
0,7,7,4,16202,192,3,8,38715
0,14,17,9,8901,250,0,3,43445
1,14,2,4,6337,229,6,9,45634
1,8,11,2,6184,251,17,9,7013
1,8,2,5,9426,157,8,8,25081
1,9,5,3,6551,272,2,3,21874
1,19,1,17,17625,102,7,9,42755
1,8,11,8,6629,264,18,9,13733
0,2,1,16,14519,177,3,9,14479
1,19,5,12,6526,229,17,8,14825
1,10,16,14,14865,207,19,6,26304
0,5,2,19,6361,210,10,1,40694
0,1,1,16,14765,106,13,8,45050
0,6,19,12,15878,101,17,3,20635
0,17,7,15,9370,186,15,7,25760
1,1,11,3,10283,231,2,6,14490
1,16,3,4,12610,160,14,6,26252
1,10,4,4,15558,50,3,7,44754
1,11,12,8,19924,93,4,0,11862
1,18,14,16,19839,276,16,4,49927
1,6,15,12,16949,124,6,1,9423
0,19,9,1,15626,147,15,1,15450
1,5,15,12,6993,257,13,0,45927
0,0,11,18,5869,58,15,4,39841
0,16,16,2,6014,81,6,1,27554
1,10,15,9,15103,64,8,3,36826
0,17,11,1,5602,189,3,2,47879
1,16,7,12,17013,274,10,2,11825
0,6,19,18,19087,286,1,1,48420
1,16,2,16,5690,255,11,5,17454
0,19,15,13,13685,298,11,1,29251
1,8,12,11,5489,234,3,7,25648
1,16,18,11,11864,185,17,7,45736
1,19,7,10,12240,121,6,4,29530
1,7,4,6,15748,204,0,9,17516
1,16,19,3,17677,239,12,6,45544
0,6,7,18,12786,61,5,3,13558
0,0,11,0,13024,114,5,0,13719
0,12,0,2,5294,156,11,1,9886
1,18,19,12,10488,281,7,9,33185
0,18,5,14,9027,91,18,9,42387
1,16,17,1,16035,239,4,3,26575
1,12,7,10,7912,164,17,0,48113
0,15,6,3,14909,188,4,7,44643
0,7,0,18,15788,152,9,8,15100
1,18,15,16,9744,220,0,3,12856
0,17,11,2,6873,144,9,9,43169
1,0,5,17,17855,66,4,2,33804
1,13,19,7,8258,274,11,1,40790
1,18,1,18,7817,209,6,4,35988
1,14,13,4,13636,299,8,2,49443
1,17,3,6,8641,270,11,9,15912
0,1,0,7,9458,262,0,6,43506
0,16,17,4,19458,134,10,5,27368
1,17,12,16,10307,217,14,0,6770
1,5,1,4,13933,200,1,7,17305
0,18,8,3,7041,105,19,1,14969
0,3,1,18,5679,183,6,4,17404
1,0,8,1,15659,135,11,8,13989
0,7,0,10,16889,227,17,7,40983
1,6,10,12,10738,151,2,1,49748
0,2,2,14,10668,214,6,8,44462
1,9,19,11,14550,286,10,4,24360
0,9,3,10,19427,241,17,9,25121
1,18,17,6,12697,292,11,5,31287
0,13,5,4,13033,103,5,2,48429
0,1,2,16,5062,249,4,2,39160
1,0,10,19,12829,282,0,9,11789
0,17,14,8,15751,226,11,7,32181
1,6,4,13,18450,276,10,9,19385
0,7,19,11,16961,164,3,9,22061
1,0,9,5,12352,188,17,1,5105
0,2,11,16,18516,137,3,1,49247
1,7,14,18,11915,98,16,4,26137
0,14,16,18,17543,198,1,5,39714
1,4,9,15,13326,164,1,1,10544
0,2,5,11,8644,243,11,4,18275
1,18,17,11,9970,112,5,6,44753
1,0,12,19,18109,153,9,9,39550
1,14,2,5,15327,132,15,9,24641
0,7,9,3,13003,152,13,7,11213
1,1,13,5,8278,205,6,6,19485
0,2,5,10,12296,66,18,7,20605
1,13,2,0,14014,55,16,8,42637
0,13,15,14,8074,196,8,4,25390
1,10,6,10,18261,233,12,4,14867
0,15,19,18,16173,279,4,9,8981
0,3,13,17,19065,77,4,3,14493
1,19,8,16,13312,243,9,8,10682
0,4,14,18,12552,87,9,4,10782
0,13,2,13,6637,168,6,1,34799
1,15,1,17,18652,86,14,9,46905
0,17,1,18,10103,164,6,7,21984
0,6,2,14,14116,293,14,6,27760
0,9,17,14,5644,117,2,7,30993
1,6,13,3,7032,263,18,2,6524
0,0,19,6,7761,267,9,3,31120
1,18,17,12,7068,226,14,4,5078
0,15,9,2,5241,92,2,5,40891
0,18,1,15,19790,213,5,0,30473
0,3,0,8,7668,107,11,3,44832
1,17,3,7,19638,62,14,9,13417
0,1,13,19,18907,101,5,4,18362
0,0,0,12,5802,107,12,6,6209
1,14,13,16,10059,81,18,4,42921
0,4,15,16,17356,258,2,0,9898
1,19,13,16,18440,154,7,6,23562
1,10,19,0,5195,277,7,7,15871
0,9,2,7,7187,296,19,6,12610
1,1,2,18,16707,237,14,3,48845
0,2,8,5,7330,287,3,7,32382
1,11,5,2,15551,132,18,4,20791
1,19,12,4,9841,235,2,9,40312
0,4,1,12,8606,148,12,8,43290
1,4,7,14,18976,287,7,9,7370
1,5,1,13,13468,153,15,4,24665
1,8,3,15,5060,233,12,0,9710
1,1,14,17,16582,77,2,8,5328
1,11,3,10,15105,178,15,4,43347
0,2,12,2,19387,219,8,5,25612
1,19,11,9,8927,259,13,3,11794
0,11,12,9,11296,97,12,5,37888
1,16,13,15,19060,89,6,7,11749
0,9,19,11,18622,146,14,2,25608
0,13,17,1,19125,240,6,4,20450
1,16,5,8,7591,253,5,1,8675
1,17,10,2,13758,249,1,1,23460
1,18,1,14,17127,265,8,6,43411
0,16,18,2,14763,257,16,9,16560
1,13,18,18,17909,163,4,9,37463
0,8,4,17,11121,181,11,9,36663
0,7,18,7,6200,215,0,5,8170
0,1,1,16,17601,285,9,3,38123
1,12,9,7,7854,204,10,4,33810
1,6,1,6,16087,186,15,0,14718
0,8,10,6,19432,160,13,6,5028
0,10,17,2,12024,193,7,7,22397
1,13,14,0,14428,233,16,8,48662
0,3,8,3,11972,125,17,7,46787
1,12,18,4,5136,80,11,4,7024
0,1,8,0,6029,265,16,2,43607
1,4,2,14,15348,168,13,9,18503
0,10,8,4,7594,191,15,8,15303
1,5,13,12,12206,286,13,5,22138
0,17,18,7,5661,74,8,4,30345
1,9,6,7,7472,83,3,2,34505
1,3,15,4,15869,116,10,5,6906
0,8,15,8,15500,299,5,2,45167
0,5,0,0,5086,201,14,9,12961
1,1,3,3,15704,167,4,5,31140
0,16,3,2,11219,283,10,3,17031
1,4,6,1,19806,122,17,1,20128
0,5,7,7,13143,75,12,7,20663
1,11,16,8,19749,197,10,3,39228
1,9,4,1,11968,241,13,8,20682
1,5,6,13,16134,153,17,6,20193
1,7,19,13,7773,59,18,1,33561
1,1,19,3,15696,260,14,3,48813
1,11,3,5,18596,116,8,4,12766
0,12,5,10,16502,201,7,2,34844
0,6,6,2,6700,54,19,8,34432
0,9,17,7,16862,244,0,4,34504
1,12,4,2,7700,235,3,1,42146
1,16,19,13,11815,76,13,2,45297
1,13,2,12,16821,257,1,8,25858
1,1,6,12,17782,162,15,6,8071
0,10,13,1,6647,64,2,1,21939
0,0,6,12,11038,212,7,8,29931
1,18,4,18,10164,253,5,3,49460
0,3,4,5,10520,154,15,8,6040
0,18,1,15,16510,230,15,1,7686
1,10,5,1,8687,93,6,9,17666
0,7,14,7,5596,75,12,3,40321
1,10,9,16,9545,224,12,4,6779
0,3,6,1,13676,211,4,1,18186
1,16,4,9,13837,264,19,9,21459
1,6,0,15,19955,144,17,0,25710
1,7,12,5,16281,227,14,6,27219
1,2,17,1,18917,133,17,9,10057
0,1,12,1,9757,189,1,0,23733
1,14,17,12,18045,264,9,7,24157
1,4,4,14,9384,181,12,2,40030
1,0,12,1,13912,136,17,9,24613
0,3,3,6,9733,225,14,5,48076
1,14,16,2,19570,232,11,6,22492
0,19,2,7,19751,161,14,9,25746
1,18,16,13,12081,178,12,0,10188
0,2,10,6,13690,295,17,5,46570
0,19,19,6,12117,138,14,6,34680
1,10,3,0,9729,115,10,5,42825
0,16,1,16,6673,207,18,3,41766
1,12,19,8,19318,180,2,0,13864
1,10,15,12,16259,171,6,8,41445
1,1,17,18,13306,198,13,3,10796
0,8,7,18,16171,266,13,6,44131
0,1,2,16,17961,133,12,6,13123
1,8,8,9,14928,226,11,1,13222
1,8,19,9,18545,165,8,0,29074
0,7,5,3,16803,263,0,7,34825
1,16,9,7,12178,262,18,7,41839
1,0,9,19,15445,239,10,6,46576
1,10,12,19,7294,274,18,7,7786
0,7,16,17,8630,165,17,2,38638
0,9,8,13,5146,87,11,1,41964
0,6,16,17,19453,192,0,6,49564
1,2,8,13,17174,299,18,7,30988
1,2,8,19,8453,299,19,0,40507
1,17,0,14,9507,159,16,9,38708
0,4,1,3,10783,229,4,8,38108
1,11,15,12,12751,256,2,3,34715
1,11,0,7,15602,95,1,3,28806
1,18,9,17,10628,74,2,2,41901
1,5,17,11,13328,70,7,5,22043
0,1,7,13,8360,265,15,0,15225
0,11,10,1,8005,170,5,5,14752
1,18,1,17,8552,171,12,1,8457
0,4,7,1,5018,182,15,8,47616
0,11,7,10,7242,119,15,1,14241
1,16,16,8,19665,162,2,6,5453
1,16,14,11,19247,156,12,0,14896
0,9,16,16,11318,161,13,6,26826
1,16,12,14,10097,157,7,4,15976
0,14,18,16,13640,96,11,7,38586
1,11,4,17,6948,264,7,3,9868
0,15,11,5,14137,245,8,9,21396
1,18,0,16,18665,140,0,6,36634
0,7,4,17,10618,67,5,5,17171
0,16,7,7,9236,198,18,4,29111
0,4,12,8,11901,269,10,3,38688
1,15,7,5,6920,276,10,6,26304
0,5,10,4,16169,263,12,4,47274
0,7,0,11,9188,153,10,4,44243
1,17,12,10,17207,200,17,0,33253
1,11,18,0,5238,241,14,1,35980
0,14,2,10,5204,244,0,4,7017
0,8,16,18,15799,89,6,2,12957
1,12,4,8,10552,291,12,1,47188
1,14,19,1,17532,187,11,3,9792
1,9,7,11,9927,138,17,3,18237
1,15,13,3,16580,229,18,3,21251
1,6,3,3,16164,290,14,3,24252
0,16,10,17,9390,249,7,2,15707
1,6,19,14,7687,296,18,6,39206
0,13,14,18,9951,252,9,8,33740
0,14,18,12,11160,110,6,4,8543
0,6,6,18,17358,241,17,3,49135
1,8,18,16,10388,54,15,1,44111
0,18,18,5,14540,171,19,1,40031
0,15,10,15,17592,286,5,4,47929
1,7,4,11,10126,230,8,6,5211
0,17,4,18,18625,104,12,9,44795
0,17,7,4,5816,86,7,9,5331
1,19,9,16,18414,105,15,8,28244
0,6,5,0,14012,236,12,6,13169
0,2,14,9,5192,286,12,4,27104
0,17,15,14,6776,151,16,9,46901
1,9,16,10,8645,142,19,9,19591
1,6,7,12,17816,246,4,9,36711
1,16,7,4,11314,122,16,5,5727
0,13,8,0,13442,108,8,2,26359
0,2,1,11,6788,289,1,4,48822
1,11,14,10,12374,51,17,7,41011
0,12,17,16,19876,242,8,0,42863
0,1,2,3,8700,153,5,0,27998
1,2,16,14,19314,237,10,6,15929
1,4,3,8,15655,100,5,4,19842
0,10,3,19,18691,79,5,4,28519
0,7,13,18,14359,60,12,0,22393
0,11,8,18,19360,269,10,8,39318
1,6,8,11,8893,157,13,0,13995
1,14,17,4,11811,125,1,4,33656
1,16,9,9,14288,216,7,9,45260
1,3,3,16,7679,139,2,8,20567
0,12,11,4,15039,254,2,3,33840
1,17,7,15,8904,172,0,7,28831
1,0,1,6,12260,249,18,5,18265
1,15,12,8,5504,240,17,2,10424
1,12,15,2,14813,241,16,3,25625
1,9,1,14,19671,238,19,1,19086
0,11,10,15,15664,174,12,0,34187
0,1,9,17,15738,231,2,7,40929
1,2,14,13,14579,269,0,0,25539
0,9,16,2,16186,171,3,0,30103
1,1,7,11,11773,143,12,3,32874
1,12,17,8,8816,250,16,9,14215
0,12,8,6,18510,152,10,9,44385
0,17,7,8,5717,272,1,5,27044
1,2,13,12,16676,235,15,8,16926
1,6,17,17,9434,262,1,0,36501
1,13,19,4,5658,233,18,6,34774
0,19,19,12,10057,288,18,9,30008
1,16,11,3,9008,211,15,4,22560
1,11,18,1,17716,296,18,7,29340
1,15,13,15,9994,80,8,6,29976
